cd,text_encoded,answers_encoded
D01,tim nghiem cua phuong trinh frac cos ^0 0x + sin ^0 x cos 0x + operatorname s text inx = 0 trong khoang left 0;0 pi right ? answers: left frac pi 0 ; frac 0 pi 0 ; frac 0 pi 0 right | frac pi 0 | left frac 0 pi 0 ; frac 0 pi 0 right | left frac pi 0 ; frac 0 pi 0 right,answers: left frac pi 0 ; frac 0 pi 0 ; frac 0 pi 0 right | frac pi 0 | left frac 0 pi 0 ; frac 0 pi 0 right | left frac pi 0 ; frac 0 pi 0 right
D07,"cho y = x^0 + m x^0 + 0 . tim m de ham so co 0 cuc tri answers: m in left 0;
+ infty right | m in left 0;
+ infty right | m in left + infty ;0 right | m in left + infty ;0 right","answers: m in left 0;
+ infty right | m in left 0;
+ infty right | m in left + infty ;0 right | m in left + infty ;0 right"
H07,"mot hinh tru co ban kinh day r = a , thiet dien qua truc la mot hinh chu nhat co dien tich bang 0 a^0 . mot mat phang song song voi truc cua hinh tru va cach truc mot khoang frac a sqrt 0 0 cat hinh tru theo mot thiet dien co dien tich bang bao nhieu? answers: a^0 sqrt 0 | frac a^0 sqrt 0 0 | a^0 sqrt 0 | frac a^0 0",answers: a^0 sqrt 0 | frac a^0 sqrt 0 0 | a^0 sqrt 0 | frac a^0 0
D02,"co 0 doan thang co do dai lan luot la 0cm,0cm,0cm,0cm,0cm. lay ngau nhien ra 0 doan thang, tinh xac suat de 0 doan thang duoc chon ra la do dai 0 canh cua 0 tam giac. answers: frac 0 0 . | frac 0 0 . | frac 0 0 . | frac 0 0 .",answers: frac 0 0 . | frac 0 0 . | frac 0 0 . | frac 0 0 .
D07,cho ham so y = frac 0x + 0 x + 0 . tiem can ngang cua do thi ham so la: answers: x = 0 | x = + 0 | y = 0 | y = frac + 0 0,answers: x = 0 | x = + 0 | y = 0 | y = frac + 0 0
H07,cho phuong trinh x^0 + y^0 + z^0 + 0x + 0my + 0z + 0 = 0 * . tim m dekhong co diem m nao trong he truc toa do oxyz thoa man phuong trinh * answers: m in + infty ; + 0 cup 0; + infty | khong ton tai gia tri m thoa man | m in + 0;0 | m in text r | dap an khac...,answers: m in + infty ; + 0 cup 0; + infty | khong ton tai gia tri m thoa man | m in + 0;0 | m in text r | dap an khac...
D03,tim so he so cua so hang thu 0 trong khai trien p = left x + y right ^ 0 biet trong khai trien so mu cua x giam dan con y tang dan. answers:0 | 0 | 0 | dap an khac,answers:0 | 0 | 0 | dap an khac
H08,"cho a left 0;0;0 right ,b left 0;0;0 right ,c left 0;0;0 right . tim diem s left a;b;0 right biet sa vuong goc voi abc answers: s left 0;
+ 0;0 right | s left + 0;
+ 0;0 right | s left + 0;0;0 right | s left 0;0;0 right","answers: s left 0;
+ 0;0 right | s left + 0;
+ 0;0 right | s left + 0;0;0 right | s left 0;0;0 right"
D07,ham so y = f left x right co bang bien thien duoi day.|<|0+0a+0+image0|>| tim so tiem can cua do thi ham so y = f left x right . answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
D05,"ket qua cua gioi han mathop lim limits_ x to 0 frac ax sin bx 0 + cos ax ,a,b ne 0 answers: frac b a | frac a b | frac 0a b | frac 0b a",answers: frac b a | frac a b | frac 0a b | frac 0b a
