answers,cd,code,content
 ANSWERS: \(m \leqslant \frac{2}{3}\)  |  \(m \in \mathbb{R}\)  |  \(m \leqslant 4\)  |  \(m \geqslant 2\) ,D07,00-24a-3a8,  Tìm m để hàm số \(y = {x^3} - 2{x^2} - mx + 1\)  đồng biến trên   \(\left( {2; + \infty } \right)\) 
 ANSWERS: Tam giác |  Tứ giác |  Ngũ giác |  Lục giác ,H01,02-03a-2a14,"  Cho hình chóp  \(S.ABCD\) có M,N,P lần lượt nằm trên BC,CD,SA. Thiết diện của  \(\left( {MNP} \right)\)  với hình chóp \(S.ABCD\) là hình gì?"
 ANSWERS: \(y' = \frac{{ - 2{{\cot }^3}x}}{{{{\sin }^2}x\sqrt {{{\cot }^4}x + 1} }}\)  |  \(y' = \frac{{2{{\cot }^3}x}}{{{{\sin }^2}x\sqrt {{{\cot }^4}x + 1} }}\)  |  \(y' = \frac{{ - {{\cot }^3}x}}{{{{\sin }^2}x\sqrt {{{\cot }^4}x + 1} }}\)  |  \(y' = \frac{{{{\cot }^3}x}}{{{{\sin }^2}x\sqrt {{{\cot }^4}x + 1} }}\) ,D06,D06-02b-3a28, (28) Cho hàm số \(y = \sqrt {{{\cot }^4}x + 1} \) . Đạo hàm của hàm số là
 ANSWERS: \(\frac{1}{6}\ln 6 - 7\ln 3\)   |  \(9\ln 4 - \frac{1}{7}\ln 9\)   |  \(7\ln 5 - 7\ln 3\)   |  \(\frac{7}{9}\ln \frac{5}{4} + \frac{1}{7}\ln 3\)  ,D09,D09-01c-0a17, Cho \(F\left( x \right)\)  là một nguyên hàm của  \(f\left( x \right) = \)  \(\int {\frac{{ - 2{x^2} + 1}}{{2{x^3} + {x^2} - 11x - 10}}dx} \)  . Tính \(F\left( 2 \right)\)  biết \(F\left( 3 \right) = \frac{1}{7}\ln 4\)  
" ANSWERS: \(m \in \left[ {0;1} \right]\)  |  \(m \in \left( {0;1} \right)\)  |  \(m \in \left( { - \infty ;0} \right) \cup \left( {1;
+ \infty } \right)\)  |  \(m \in \left( { - \infty ;0} \right] \cup \left[ {1;
+ \infty } \right)\) ",D07,00-18a-4a8,  Cho hàm số \(y = {x^4} - 4{x^2} + 3\) . Tìm m để phương trình sau có 8 nghiệm phân biệt :   \(m = \left| {{x^4} - 4{x^2} + 3} \right|\) 
 ANSWERS: \(\left( {4;0} \right)\)  |  \(\left( {0;0} \right)\)  |  \(\left( {0;2} \right)\)  |  \(\left( {0;4} \right)\) ,D07,00-18a-1a1,  Đồ thị hàm số đi qua điểm nào dưới đây ?
 ANSWERS: \(\frac{a}{{\sqrt 6 }}\)  |  \(a\sqrt 2 \)  |  \(a\frac{{\sqrt {23} }}{4}\)  |  \(\frac{a}{{\sqrt 5 }}\) ,H04,00-20b-3a7, Cho hình chóp đều S.ABCD.Gọi O là tâm đáy.Cạnh đáy = SO = a.Tính khoảng cách từ O đến mặt phẳng (SBC) theo a
 ANSWERS: \( + \infty \)   | 0 |  \(\frac{1}{{1 + \sqrt a }}\)   |  \(\sqrt a - 1\)   | Đáp án khác...,D05,D05-05b-0a8, Tình giới hạn: \(\lim \left( {\sqrt {a{n^2} + 3} - \sqrt {{n^2} + 1} } \right)\)  (a > 1)
 ANSWERS: \(13\ln 2 + 6\left( {m/s} \right)\)  |  \(13\left( {m/s} \right)\)  |  \(12\ln + 3\left( {m/s} \right)\)  |  \(12\ln 2 + 6\left( {m/s} \right)\) ,D09,10-50a-2001a47, Một vật chuyển động với vận tốc  \(v\left( t \right)\left( {m/s} \right)\)  có gia tốc   \(v'\left( t \right) = \frac{3}{{t + 1}}\left( {m/{s^2}} \right)\) . Vận tốc ban đầu của vật là  \(6m/s\) . Hỏi vận tốc của vật sau 15 giây là:
 ANSWERS: \(V = \pi \int\limits_0^1 {\sqrt {2x + 1} {\text{d}}x} \)  |  \(V = \pi \int\limits_0^1 {\left( {2x + 1} \right){\text{d}}x} \)  |  \(V = \int\limits_0^1 {\left( {2x + 1} \right){\text{d}}x} \)  |  \(V = \int\limits_0^1 {\sqrt {2x + 1} {\text{d}}x} \) ,D09,01-73a-2a4,"  Cho hình phẳng \(\left( D \right)\) được giới hạn bởi các đường \(x = 0\) ,  \(x = 1\) ,  \(y = 0\)  và  \(y = \sqrt {2x + 1} \) . Thể tích  \(V\) của khối tròn xoay tạo thành khi quay  \(\left( D \right)\)  xung quanh trục  \(Ox\)  được tính theo công thức?"
" ANSWERS:A,B khác phía so với \(\left( P \right)\)   |  B,C khác phía so với \(\left( P \right)\)   |  B,D khác phía so với \(\left( P \right)\)   | A,C cùng phía so với \(\left( P \right)\)  ",H07,H07-04b-0a5," Cho 4 điểm \(A\left( {0;0;1} \right)\)  , \(B\left( {3; - 2;0} \right)\)  , \(C\left( {2;1; - 1} \right)\)  , \(D\left( { - 5; - 7;0} \right)\)  và mặt phẳng  \(\left( P \right): - 2x + 10y - z + 20 = 0\)  . Chọn khẳng định SAI trong các khẳng định sau?"
" ANSWERS: \(K\left( {\frac{7}{3};
- \frac{2}{3};\frac{7}{3}} \right),r = 2\)   |  \(K\left( { - \frac{7}{3};\frac{2}{3};\frac{7}{3}} \right),r = 2\sqrt 3 \)   |  \(K\left( {\frac{7}{3};
- \frac{2}{3};\frac{7}{3}} \right),r = 2\sqrt 5 \)   |  \(K\left( {\frac{7}{3};
- \frac{2}{3};\frac{7}{3}} \right),r = 2\sqrt 3 \)  ",H07,00-05z-0a46," Trong không gian với hệ tọa độ Oxyz, cho điểm  \( I\left( {1; - 2;3} \right)\)  và mặt phẳng  \(\left( P \right):2x + 2y - z - 1 = 0\)  . Mặt phẳng (P) cắt mặt cầu tâm I, bán kính 4. Tìm tọa độ tâm và bán kính của đường tròn giao tuyến."
 ANSWERS: \(y = 3\)  |  \(y = - 1\)  |  \(y = 1\)  |  \(y = 2\) ,D07,00-20a-2a4,  Tiệm cận ngang của hàm số  \(y = \frac{{3 - x}}{{x + 1}}\)  là
" ANSWERS: \(\left[ \begin{gathered} x = \pm \frac{\pi }{3} + k2\pi \hfill \\
 x = - \frac{\pi }{4} + k\pi \hfill \\
\end{gathered} \right.\left( {k \in \mathbb{Z}} \right)\)  |  \(\left[ \begin{gathered} x = \pm \frac{\pi }{3} + k2\pi \hfill \\
 x = \frac{\pi }{4} + k\pi \hfill \\
\end{gathered} \right.\left( {k \in \mathbb{Z}} \right)\)  |  \(\left[ \begin{gathered} x = \pm \frac{\pi }{6} + k2\pi \hfill \\
 x = - \frac{\pi }{4} + k\pi \hfill \\
\end{gathered} \right.\left( {k \in \mathbb{Z}} \right)\)  |  \(\left[ \begin{gathered} x = \pm \frac{\pi }{3} + k2\pi \hfill \\
 x = - \frac{\pi }{4} + k2\pi \hfill \\
\end{gathered} \right.\left( {k \in \mathbb{Z}} \right)\) ",D01,01-05a-1a6,  Giải phương trình:  \(\left( {2\cos x - 1} \right)\left( {\operatorname{s} {\text{inx}} + \cos x} \right) = 0\) 
 ANSWERS: \( - 2 < m < 2\)  |  \( - 2 \leqslant m \leqslant 2\)  |  \( - 1 < m < 1\)  |  \(m \in R\) ,D01,02-07a-2a14,  Tìm m để phương trình  \(msinx + 3cosx = 1\) có nghiệm
 ANSWERS:\(\min F = 2\) | \(\min F = - 8\) | \(\min F = 8\) | \(\min F = 6\),D04,02-28a-5a4,  Cho cấp số cộng \(\left( {{u_n}} \right)\) có công sai \(d = - 2\). Tìm giá trị nhỏ nhất của biểu thức  \(F = u_2^2 + u_3^2 + u_4^2\).
 ANSWERS: \(16\)  |  \( - 1\)  |  \(1\)  |  Không tồn tại  \(a\) ,H07,H07-06b-1a10," (10) Cho đường thẳng  \(d:\frac{{x - 2}}{1} = \frac{{y + 1}}{2} = \frac{{z - 1}}{1}\)  và mặt phẳng   \(\left( P \right)ax + y + 2z + 1 = 0\) . Biết góc giữa d và (P) bằng  \(30^\circ \) , tính tổng các giá trị của  \(a\)  tìm được thỏa mãn yêu cầu bài toán"
 ANSWERS: \(m < 0\)  |  \(m \leqslant 0\)  |  \(m \geqslant 0\)  |  \(m > 0\) ,D07,00-15a-1a8,  Tìm m để hàm số  \(y = - {x^3} - 3m{x^2} + 4m - 1\) nghịch biến trên   \(\left( {0; + \infty } \right)\) 
 ANSWERS: \(I\left( {\frac{{ - 1}}{2};\frac{{13}}{3};1} \right)\)   |  \(I\left( {\frac{{ - 1}}{2};\frac{{ - 13}}{3};1} \right)\)   |  \(I\left( {\frac{1}{2};\frac{{ - 13}}{3};1} \right)\)   |  \(I\left( {\frac{1}{2};\frac{{13}}{3};1} \right)\)  ,H07,H07-02a-11c," Cho 4 điểm A (2;–1;6), B(–3;–1;–4), C(5;–1;0), D(1;2;1). Tìm tâm I mặt cầu ngoại tiếp tứ diện ABCD "
 ANSWERS: \(\left( {C'} \right):{\text{ }}{\left( {x + 1} \right)^2} + {\left( {y-1} \right)^2} = 9\)  |  \(\left( {C'} \right):{\text{ }}{\left( {x + 1} \right)^2} + {\left( {y-1} \right)^2} = 3\)  |  \(\left( {C'} \right):{\text{ }}{\left( {x - 1} \right)^2} + {\left( {y + 1} \right)^2} = 3\)  |  \(\left( {C'} \right):{\text{ }}{\left( {x - 1} \right)^2} + {\left( {y + 1} \right)^2} = 9\) ,H02,02-07a-5a2,  Cho đường tròn   \(\left( C \right){\text{: }}{x^2} + {y^2}-2x + 4y-4 = 0\)  .Xác định  \(\left( {C'} \right)\)  là ảnh của  \(\left( C \right)\)  qua các phép tịnh tiến   \(\overrightarrow v \left( {-2;3} \right)\) 
 ANSWERS:\(4\sqrt 2 \) | 4 | \(8\sqrt 2 \) | 8,D10,00-44a-1a23,  Cho số phức \(z\) thỏa mãn: \(\overline z = \frac{{{{\left( {1 + \sqrt 3 i} \right)}^3}}}{{1 - i}}\). Tìm môđun của  \(\overline z + iz\) .
 ANSWERS:x = 4 | x = 5 | x = 3 | x=3 hoặc x=4,D03,01-16a-3a1,  Tìm  \(x \in Z\) thỏa mãn  \(x!A_x^2 + 72 = 6\left[ {A_x^2 + 2(x!)} \right]\) 
 ANSWERS:\(m = 2\). | \(m = - 2\). | \(m = \frac{1}{2}\). | \(m = 0\).,D07,01-42a-1a10, Với giá trị nào của \(m\) thì đồ thị hàm số \(y = \frac{{mx - 1}}{{2x + m}}\) có tiệm cận đứng là đường thẳng \(x = - 1\) ?
 ANSWERS:1 | 2 | 3 | 4,D08,00-35a-4a8,  Biết rằng   \({2^{a + \frac{1}{a}}} = {\log _2}\left( {14 - \left( {b - 2} \right)\sqrt {b + 1} } \right)\)  trong đó  \(a > 0\) . Tính giá trị của  \(P = a + b\) 
 ANSWERS: \(8\pi \)   |  \(4\pi \)   |  \(\pi \)   |  \(2\pi \)  ,D09,D09-02b-0a14," Tính thể tích hình phẳng xoay quanh trục Ox giới hạn bởi y = \(\sqrt x \)  ,trục hoành và x = 0,x = 2"
 ANSWERS: \(\frac{{{a^3}}}{3}\)  |  \(\frac{{2{a^3}}}{3}\)  |  \(\frac{{{a^3}}}{2}\)  |  \(\frac{{3{a^3}}}{2}\) ,H06,01-59a-1a27," Cho hình chóp  \(S.ABCD\) có  \(SA \bot \left( {ABCD} \right)\) , \(SA = 2a\) , đáy là hình thoi có  \(AC = a\sqrt 3 ,BD = \frac{{a\sqrt 3 }}{2}\) . Tính  \({V_{S.ABCD}}\) ?"
 ANSWERS:1 | 2 | 3 | 4,H03,02-06a-4a1,"Cho  \(S.ABCD\)  có  \(AB\parallel CD\) . Các điểm  \(M,N,P,Q\)  lần lượt là trung điểm  \(SA,SB,SC,SD\) . Gọi O là giao điểm AD và BC. Cho các khẳng định sau   <br />(1)  \(MN\parallel DC\)  <br />(2)  \(M,N,P,Q\)  đồng phẳng <br />(3)  \(MQ,NP,SO\)  đồng quy  <br />(4)  \(S,O,I\)  thẳng hàng (với I là giao điểm của MQ và PN) <br />Số khẳng định đúng là"
 ANSWERS: \(\frac{1}{2}\)   | 0 |  \(\frac{3}{2}\)   |  \(\frac{7}{4}\)  ,D05,00-06b-1a11, Tính giới hạn \(\mathop {\lim }\limits_{x \to 0} \frac{{{{\left( {x + 1} \right)}^3} - \sqrt {1 - x} }}{{\tan 2x}}\)  
 ANSWERS:\(x = \frac{3}{{10}}\) | \(x = 3\) | \(x = \frac{{10}}{3}\) | \(x = 1\),D08,00-43a-1a15,  Phương trình  \({\log _3}\left( {3x - 1} \right) = 2\)  có nghiệm là
 ANSWERS: \( - 3 < m \leqslant 0\)  |  \(m > 0\)  |  \(m \leqslant - 3\)  |  \( - 3 < m < 0\) ,D06,00-09a-3a4,"  Cho hàm số   \(y = {x^3} + 3{x^2} + \left( {{m^2} + 3m + 3} \right)x\) . Gọi  \({x_1},{x_2}\) là nghiệm của phương trình  \(y' = 0\) . Tìm m thỏa mãn  \({x_1} < {x_2} \leqslant 0\) "
